"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 4, 23, 111
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\profile\types\profile.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 11, 40
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TaskCreateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 203, 0, 0, 8, 31, 242
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TaskHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 3, 8, 66
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TaskHelpModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 8, 15, 144
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TaskList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 4, 21, 170
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TaskModalForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 270, 0, 0, 13, 44, 327
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TaskStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 215, 0, 0, 12, 42, 269
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TasksAnalytics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 4, 19, 166
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TasksExpandedPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 7, 18, 133
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TasksFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 8, 55
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TasksHistory7d.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 4, 22, 122
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\components\TasksSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 6, 34
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\tasks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 189, 0, 0, 16, 46, 251
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(public)\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(public)\onboarding-form\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(public)\onboarding\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 3, 8
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\auth\callback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 10, 48
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\auth\AuthContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 0, 6, 16, 102
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 1, 13, 63
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\auth\SignupForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 1, 17, 80
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\components\features\auth\SocialButtons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 3, 6, 56
